name,nametype,class,mass (g),discovery,year
Turtle Lake,Valid,L5,89.3,Fell,1996.0
Uchkuduk,Valid,L6,1000.0,Fell,1989.0
Umm Ruaba,Valid,L5,1700.0,Fell,1966.0
Undulung,Valid,L4,113.4,Fell,1986.0
Usti Nad Orlici,Valid,L6,1269.0,Fell,1963.0
Utrecht,Valid,L6,9700.0,Fell,1843.0
Valdinizza,Valid,L6,1004.0,Fell,1903.0
Valera,Valid,L5,50000.0,Fell,1972.0
Varre-Sai,Valid,L5,2500.0,Fell,2010.0
Villalbeto de la Pea,Valid,L6,3500.0,Fell,2004.0
Vilna,Valid,L5,0.1,Fell,1967.0
Virba,Valid,L6,3600.0,Fell,1873.0
Vouill,Valid,L6,20000.0,Fell,1831.0
Walters,Valid,L6,28100.0,Fell,1946.0
Wethersfield (1971),Valid,L6,350.0,Fell,1971.0
Wethersfield (1982),Valid,L6,2756.0,Fell,1982.0
Wittekrantz,Valid,L5,2200.0,Fell,1880.0
Wold Cottage,Valid,L6,25000.0,Fell,1795.0
Woolgorong,Valid,L6,36000.0,Fell,1960.0
Worden,Valid,L5,1551.0,Fell,1997.0
Yorktown (New York),Valid,L5,250.0,Fell,1869.0
Zaborzika,Valid,L6,3867.0,Fell,1818.0
Zabrodje,Valid,L6,3000.0,Fell,1893.0
Zavetnoe,Valid,L6,800.0,Fell,1952.0
Zavid,Valid,L6,95000.0,Fell,1897.0
Zemaitkiemis,Valid,L6,44100.0,Fell,1933.0
Zhaodong,Valid,L4,42000.0,Fell,1984.0
Zomba,Valid,L6,7500.0,Fell,1899.0
Abernathy,Valid,L6,2914.0,Found,1941.0
Acfer 001,Valid,L6,6700.0,Found,1989.0
Acfer 004,Valid,L6,1020.0,Found,1989.0
Acfer 007,Valid,L5,542.0,Found,1989.0
Acfer 009,Valid,L6,127.0,Found,1989.0
Acfer 010,Valid,L6,276.0,Found,1989.0
Acfer 015,Valid,L6,98.0,Found,1989.0
Acfer 017,Valid,L5,446.0,Found,1989.0
Acfer 019,Valid,L6,581.0,Found,1989.0
Acfer 032,Valid,L6,495.0,Found,1989.0
Acfer 033,Valid,L6,93.0,Found,1989.0
Acfer 034,Valid,L6,184.0,Found,1989.0
Acfer 036,Valid,L5/6,112.0,Found,1989.0
Acfer 039,Valid,L3.8,225.0,Found,1989.0
Acfer 040,Valid,L5-6,146.0,Found,1989.0
Acfer 044,Valid,L6,195.0,Found,1989.0
Acfer 047,Valid,L4,1440.0,Found,1989.0
Acfer 051,Valid,L5,905.0,Found,1989.0
Acfer 052,Valid,L5,58.0,Found,1989.0
Acfer 056,Valid,L4,129.0,Found,1989.0
Acfer 064,Valid,L5,854.0,Found,1989.0
Acfer 068,Valid,L6,1805.0,Found,1990.0
Acfer 069,Valid,L6,941.0,Found,1990.0
Acfer 071,Valid,L6,1379.0,Found,1990.0
Acfer 072,Valid,L5/6,162.0,Found,1990.0
Acfer 074,Valid,L6,384.0,Found,1990.0
Acfer 077,Valid,L6,2538.0,Found,1990.0
Acfer 079,Valid,L6,387.0,Found,1990.0
